NAME,yyyymmddhh,PS01,TX01,TX05,RH01,RH02,WD01,WD02,PP01,PP02,RI,RI_pre
WP20,1990091500,996.5,27,24.1,84,30,1.2,90,0,0,35,35
WP20,1990091506,996.3,25.8,24.1,90,30,0.6,45,0.5,0.5,45,30
WP27,1990110800,1003.1,23.2,19.7,81,22.9,0.6,202.5,0,0,35,40
WP27,1990110806,1003,21,18.6,86,21.4,0.7,90,0,0,40,40
WP27,1990110812,1001.6,29.2,20.5,59,24.1,2.3,225,0,0,45,45
WP27,1990110818,1001.4,24.8,20.4,77,24,0.6,45,0,0,45,50
WP27,1990110900,1002.6,24.1,20.5,80,24.1,0.6,90,0,0,40,40
WP27,1990110906,1001.7,21.8,19.7,88,22.9,0.2,0,0,0,40,30
WP29,1990112306,1011.9,16.4,13.9,85,15.9,0.3,135,0,0,30,30
WP29,1990112406,1010.2,15.8,13.8,88,15.8,0.4,135,0,0,30,30
WP07,1991071612,998.8,33.2,21.9,52,26.3,1.4,202.5,0,0,30,50
WP07,1991071618,997.2,30,24.2,71,30.2,2.2,315,0,0,35,35
WP24,1991100606,1001.8,21.8,17,74,19.4,0.8,337.5,0,0,30,45
WP24,1991100612,1000.9,29.8,19,52,22,2.8,360,0,0,40,30
WP25,1991102118,1006.1,24.9,20.3,76,23.8,2.1,337.5,0,0,30,55
WP25,1991102200,1007.1,21.2,19.1,88,22.1,0,0,0,0,40,45
WP25,1991102206,1007.1,21.1,19.7,92,22.9,0.6,337.5,0,0,50,35
WP26,1991110200,1007,18.9,14.3,75,16.3,0.3,112.5,0,0,35,40
WP30,1991112400,1009.2,21.2,19.1,88,22.1,0.1,0,0,0,30,40
WP30,1991112406,1009.7,21.4,18,81,20.6,0.9,45,0,0,35,35
WP30,1991112412,1009.7,25.7,18,62,20.6,2.9,360,0,0,40,30
WP30,1991112418,1009.7,21.1,15.6,71,17.7,1.7,360,0,0,40,30
WP30,1991112500,1011.3,18.5,14.4,77,16.4,1.8,22.5,0,0,40,30
WP30,1991112506,1010.9,17.3,14.3,83,16.3,0.4,315,0,0,35,30
WP02,1992062406,994.2,26.1,23,83,28.1,0.9,90,0,0,30,30
WP02,1992062412,994.4,33.3,23.4,56,28.8,1.9,247.5,0,0,30,40
WP02,1992062418,994.4,29.4,24.2,74,30.2,1.5,337.5,0,0,30,45
WP02,1992062500,994.5,26.9,23.3,81,28.6,1.6,67.5,0,0,30,35
WP10,1992080312,999.8,32.2,23.7,61,29.3,1,202.5,0,0,30,45
WP10,1992080318,998.8,31.2,23.2,63,28.4,1.5,22.5,0,0,35,40
WP10,1992080400,999.8,26.7,24,85,29.8,0.7,112.5,0,0,35,35
WP23,1992100900,1005.9,21.9,17.7,77,20.2,2.3,22.5,0,0,30,45
WP23,1992100906,1005.1,20.6,17.3,81,19.7,1.1,67.5,0,0,35,35
WP30,1992111800,1006.5,21,19.7,92,22.9,0.2,0,0,0,30,35
WP32,1992111800,1006.5,21,19.7,92,22.9,0.2,0,0,0,30,30
WP06,1993062206,998,27.5,23.4,78,28.8,0.9,225,0,0,35,40
WP19,1993083100,1001.5,25.2,18.8,68,21.7,1.8,67.5,0,0,30,40
WP19,1993083106,1000.9,24.4,20.6,79,24.3,0.3,22.5,0,0,35,40
WP19,1993083112,999.3,31.4,19.4,49,22.5,3.3,337.5,0,0,40,30
WP23,1993092318,999.2,27.9,22.7,73,27.6,1.9,360,0,0,30,35
WP30,1993102906,1008.5,20.8,19.4,92,22.5,0,0,0,0,35,40
WP30,1993102912,1007.8,29.2,21.3,62,25.3,3.5,360,0,0,40,35
WP08,1994070712,995.5,31.4,24.7,68,31.1,2.5,360,0,0,30,50
WP08,1994070718,993.2,31.3,25.2,70,32.1,1.7,292.5,0,0,35,45
WP08,1994070800,996,27.3,25.6,90,32.8,1.9,247.5,0,0,45,30
WP10,1994071718,994.2,29.6,24.5,74,30.7,2.3,337.5,0,0,30,30
WP17,1994080218,990.6,31.7,25.3,69,32.2,2,247.5,0,0,30,40
WP17,1994080300,991.8,28.2,25.6,86,32.8,0.7,135,0,0,35,40
WP17,1994080306,990.3,28.1,25.7,87,33,0,0,0,0,40,40
WP17,1994080312,988.6,29.9,24.9,75,31.5,1.7,247.5,0,0,40,35
WP17,1994080318,983.2,27.8,25.7,88,33,1.5,225,1.7,0.8,40,35
WP35,1994102106,1007.5,18.9,11,60,13.1,4.5,22.5,0,0,30,40
WP35,1994102112,1006.2,22.7,9.3,42,11.7,4.1,360,0,0,35,35
WP35,1994102118,1005.6,18.4,9,54,11.5,3.8,22.5,0,0,40,30
