NAME,yyyymmddhh,PS01,PS02,TX01,TX05,RH01,RH02,WD01,WD02,PP01,PP02,RI,RI_pre
WP01,1990011300,1021.7,0,17.1,13.6,80,15.6,5,67.5,0,0,30,30
WP03,1990051606,1010,0,24.7,20,75,23.4,5.3,67.5,0,0,30,35
WP03,1990051612,1007.8,0,32.1,22,55,26.4,2.9,90,0,0,35,30
WP07,1990062318,983.5,984.2,26.5,23.5,84,29,5,247.5,1.5,1,30,30
WP07,1990062400,993.5,994.2,26,24.5,91,30.7,4.1,180,15,1,30,30
WP09,1990072618,999.9,0,30.9,21.6,58,25.8,6.8,90,0,0,35,40
WP09,1990072700,1001.5,0,30.1,21.9,62,26.3,4.3,112.5,0,0,40,50
WP09,1990072706,1001.7,0,29.8,21.7,62,26,4.4,90,0,0,50,40
WP20,1990091500,1007.9,0,28.1,23.8,78,29.5,5.7,67.5,0,0,35,45
WP20,1990091506,1007.3,0,27.6,23.1,77,28.3,5.8,67.5,0,0,45,55
WP20,1990091512,1006.5,0,33,22.2,53,26.8,7.5,112.5,0,0,55,50
WP20,1990091518,1006.3,0,30.2,20.7,57,24.4,6,90,0,0,50,35
WP20,1990091600,1008.2,0,27.8,21.8,70,26.1,6.3,67.5,0,0,35,30
WP27,1990110800,1012.2,0,25.3,19.8,72,23.1,6.1,67.5,0,0,35,40
WP27,1990110806,1011.7,0,25.2,19.2,69,22.2,4.9,67.5,0,0,40,45
WP27,1990110812,1009.6,0,31.4,20.5,52,24.1,4.6,112.5,0,0,45,45
WP27,1990110818,1009.7,0,27.1,21.3,71,25.3,2.4,315,0,0,45,40
WP27,1990110900,1011,0,25.2,21.4,79,25.5,2.2,180,0,0,40,40
WP27,1990110906,1010.5,0,23.8,19.7,78,22.9,2.9,180,0,0,40,45
WP27,1990110912,1012.2,0,28,20.8,65,24.6,6.2,337.5,0,0,45,50
WP27,1990110918,1018.6,0,20.3,15.6,74,17.7,3.3,67.5,0.5,1,50,40
WP27,1990111000,1021.7,0,18.6,13.4,72,15.4,4.3,90,0,0,40,30
WP29,1990112406,1021,0,20,15.2,74,17.3,3.8,90,0,0,30,45
WP29,1990112412,1019,0,25,15.1,54,17.2,6.8,67.5,0,0,45,40
WP29,1990112418,1018,0,23.1,14.3,58,16.3,4.5,67.5,0,0,40,35
WP29,1990112500,1018.3,0,21.6,17,75,19.4,3.5,90,0,0,35,30
WP04,1991050806,1014,0,23.6,20.5,83,24.1,2,22.5,0,0,40,45
WP04,1991050812,1014.4,0,25,20.6,77,24.3,4.3,67.5,0,0,45,45
WP04,1991050818,1015.1,0,21.2,17.4,79,19.9,4,67.5,0,0,45,40
WP05,1991061218,1008.9,0,30.3,25.7,76,33,2.5,180,0,0,40,40
WP05,1991061300,1009.7,0,28.4,25.1,82,31.9,3.5,135,0,0,40,40
WP05,1991061306,1009.9,0,27,24,84,29.8,2.6,157.5,0,0,40,30
WP07,1991071612,1006.9,0,35.1,22.5,48,27.2,3.6,315,0,0,30,35
WP07,1991071618,1005.6,0,32.9,21.8,52,26.1,4.1,112.5,0,0,35,45
WP07,1991071700,1006.4,0,30,23.1,67,28.3,4,90,0,0,45,50
WP07,1991071706,1006.2,0,27.9,22.9,74,27.9,1.2,180,0,0,50,50
WP07,1991071712,1005.3,0,35.7,22.1,45,26.6,3.9,112.5,0,0,50,35
WP08,1991072100,1007.2,0,28.4,23,73,28.1,0.9,135,0,0,30,30
WP19,1991091112,1008.1,0,34.7,23.2,51,28.4,3.3,67.5,0,0,30,35
WP19,1991091118,1007.1,0,30.7,23,64,28.1,6.2,67.5,0,0,35,35
WP21,1991091512,1010.2,0,26.2,22.9,82,27.9,2.7,112.5,0.3,1,35,40
WP21,1991091518,1008.3,0,27.5,23.2,77,28.4,5.5,45,0,0.1,40,30
WP21,1991092106,1013,0,22.8,15.8,65,17.9,3,180,0,0,30,30
WP22,1991092012,1009,0,29.6,18,50,20.6,5.4,67.5,0,0,35,40
WP22,1991092018,1009.2,0,27.6,14.8,46,16.8,4.3,67.5,0,0,40,45
WP22,1991092100,1011.8,0,25.9,17.7,61,20.2,2.1,90,0,0,45,40
WP23,1991100512,1013.8,0,24.8,19.6,73,22.8,4.4,90,0,0,30,35
WP23,1991100518,1013.5,0,23.9,18.4,71,21.2,3,90,0,0,35,40
WP23,1991100600,1014.8,0,23.7,17.5,68,20,2,112.5,0,0,40,35
WP24,1991100606,1013.2,0,22.4,18,76,20.6,2,180,0,0,30,40
WP24,1991100612,1012.7,0,26.5,15.9,52,18.1,4.2,45,0,0,40,50
WP24,1991100618,1012.5,0,24.7,14.9,54,16.9,1.6,67.5,0,0,50,50
WP24,1991100700,1013.3,0,23.8,15.5,60,17.6,1.1,45,0,0,50,45
WP24,1991100706,1012.6,0,22.1,17.2,74,19.6,1,180,0,0,45,30
WP25,1991102118,1018.3,0,22.5,19.1,81,22.1,4.3,67.5,0,0,30,40
WP25,1991102200,1018.6,0,21.7,19,85,22,5.6,67.5,0,0,40,50
WP25,1991102206,1018.4,0,21.6,18.1,80,20.8,5.6,90,0,0,50,55
WP25,1991102212,1018.7,0,23.9,18.6,72,21.4,5.5,67.5,0,0,55,55
WP25,1991102218,1018.6,0,21.4,18,81,20.6,4.7,90,0,0.6,55,45
WP25,1991102300,1019.9,0,20.9,17.8,82,20.4,3.5,90,0,0,45,35
WP26,1991110200,1017.4,0,19.8,13.4,67,15.4,1.6,67.5,0,0,35,45
WP26,1991110206,1016.6,0,20.2,13.1,64,15.1,1.7,135,0,0,45,55
WP26,1991110212,1015.2,0,23.8,14.8,57,16.8,4.9,67.5,0,0,55,55
WP26,1991110218,1015.5,0,22.6,16.6,69,18.9,3.3,67.5,0,0,55,40
WP30,1991112400,1021.6,0,23,19.1,79,22.1,5.3,67.5,0,0,30,35
WP30,1991112406,1022.8,0,21.5,16.7,74,19,4.6,67.5,0,0.6,35,40
WP30,1991112412,1024,0,21.1,17,77,19.4,6.7,67.5,0,1,40,40
WP30,1991112418,1025.9,0,18.6,14.9,79,16.9,6.3,67.5,0,1,40,40
WP30,1991112500,1027.2,0,17.1,13.9,81,15.9,4.6,90,0,0,40,35
WP30,1991112506,1025.3,0,17.1,14.5,85,16.5,4.4,90,0,1,35,30
WP30,1991112512,1024.5,0,19.9,15.7,77,17.8,6.5,90,0,0.8,30,30
WP30,1991112518,1024,0,18.9,16.1,84,18.3,4.2,90,0,1,30,30
WP30,1991112600,1023.9,0,19.3,16.9,86,19.2,3.9,90,2.5,1,30,30
WP02,1992062406,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,30
WP02,1992062412,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,30
WP02,1992062418,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,30
WP02,1992062500,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,30
WP02,1992062506,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,40
WP02,1992062512,1024,0,10.5,3.8,63,8,0.4,45,0,0,40,45
WP02,1992062518,1024,0,10.5,3.8,63,8,0.4,45,0,0,45,35
WP05,1992070912,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,30
WP05,1992070918,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,30
WP09,1992080218,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,35
WP09,1992080300,1024,0,10.5,3.8,63,8,0.4,45,0,0,35,30
WP10,1992080312,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,35
WP10,1992080318,1024,0,10.5,3.8,63,8,0.4,45,0,0,35,35
WP10,1992080400,1024,0,10.5,3.8,63,8,0.4,45,0,0,35,45
WP10,1992080406,1024,0,10.5,3.8,63,8,0.4,45,0,0,45,45
WP10,1992080412,1024,0,10.5,3.8,63,8,0.4,45,0,0,45,40
WP10,1992080418,1024,0,10.5,3.8,63,8,0.4,45,0,0,40,35
WP15,1992082706,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,40
WP15,1992082712,1024,0,10.5,3.8,63,8,0.4,45,0,0,40,35
WP15,1992082718,1024,0,10.5,3.8,63,8,0.4,45,0,0,35,35
WP23,1992100900,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,35
WP23,1992100906,1024,0,10.5,3.8,63,8,0.4,45,0,0,35,40
WP23,1992100912,1024,0,10.5,3.8,63,8,0.4,45,0,0,40,45
WP23,1992100918,1024,0,10.5,3.8,63,8,0.4,45,0,0,45,45
WP23,1992101000,1024,0,10.5,3.8,63,8,0.4,45,0,0,45,35
WP23,1992101212,1024,0,10.5,3.8,63,8,0.4,45,0,0,40,40
WP23,1992101218,1024,0,10.5,3.8,63,8,0.4,45,0,0,40,30
WP28,1992110218,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,30
WP28,1992110300,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,30
WP30,1992111800,1024,0,10.5,3.8,63,8,0.4,45,0,0,30,35
